publication line: warranty has been voided, you can only go east. 
00000000 000093be 68 001cf295 00000068 00000003 00731204 00000083 00731377 00000000 00000002
00000000 000093be 69 001cf296 00000069 00000003 00731204 00000083 00731378 00000000 00000002
00000000 000093be 73 001cf297 00000073 00000003 00731204 00000083 00731379 00000000 00000002
00000000 000093be 20 0073117d 00000020 00000003 00731204 00000083 0073137a 00000000 00000002
00000000 000093be 64 001cf299 00000064 00000003 00731204 00000083 0073137b 00000000 00000002
00000000 000093be 65 001cf29a 00000065 00000003 00731204 00000083 0073137c 00000000 00000002
00000000 000093be 76 001cf29b 00000076 00000003 00731204 00000083 0073137d 00000000 00000002
00000000 000093be 69 001cf29c 00000069 00000003 00731204 00000083 0073137e 00000000 00000002
00000000 000093be 63 001cf29d 00000063 00000003 00731204 00000083 0073137f 00000000 00000002
00000000 000093be 65 001cf29e 00000065 00000003 00731204 00000083 00731380 00000000 00000002
00000000 000093be 20 00731187 00000020 00000003 00731204 00000083 00731381 00000000 00000002
00000000 000093be 77 001cf2a0 00000077 00000003 00731204 00000083 00731382 00000000 00000002
00000000 000093be 69 001cf2a1 00000069 00000003 00731204 00000083 00731383 00000000 00000002
00000000 000093be 6c 001cf2a2 0000006c 00000003 00731204 00000083 00731384 00000000 00000002
00000000 000093be 6c 001cf2a3 0000006c 00000003 00731204 00000083 00731385 00000000 00000002
00000000 000093be 20 00731191 00000020 00000003 00731204 00000083 00731386 00000000 00000002
00000000 000093be 76 001cf2a5 00000076 00000003 00731204 00000083 00731387 00000000 00000002
00000000 000093be 6f 001cf2a6 0000006f 00000003 00731204 00000083 00731388 00000000 00000002
00000000 000093be 69 001cf2a7 00000069 00000003 00731204 00000083 00731389 00000000 00000002
00000000 000093be 64 001cf2a8 00000064 00000003 00731204 00000083 0073138a 00000000 00000002
00000000 000093be 20 0073119b 00000020 00000003 00731204 00000083 0073138b 00000000 00000002
00000000 000093be 79 001cf2aa 00000079 00000003 00731204 00000083 0073138c 00000000 00000002
00000000 000093be 6f 001cf2ab 0000006f 00000003 00731204 00000083 0073138d 00000000 00000002
00000000 000093be 75 001cf2ac 00000075 00000003 00731204 00000083 0073138e 00000000 00000002
00000000 000093be 72 001cf2ad 00000072 00000003 00731204 00000083 0073138f 00000000 00000002
00000000 000093be 20 007311a5 00000020 00000003 00731204 00000083 00731390 00000000 00000002
00000000 000093be 72 001cf2af 00000072 00000003 00731204 00000083 00731391 00000000 00000002
00000000 000093be 6f 001cf2b0 0000006f 00000003 00731204 00000083 00731392 00000000 00000002
00000000 000093be 62 001cf2b1 00000062 00000003 00731204 00000083 00731393 00000000 00000002
00000000 000093be 6f 001cf2b2 0000006f 00000003 00731204 00000083 00731394 00000000 00000002
00000000 000093be 74 001cf2b3 00000074 00000003 00731204 00000083 00731395 00000000 00000002
00000000 000093be 27 001cf2b4 00000027 00000003 00731204 00000083 00731396 00000000 00000002
00000000 000093be 73 001cf2b5 00000073 00000003 00731204 00000083 00731397 00000000 00000002
00000000 000093be 0a 007311af 0000000a 00000003 00731204 00000083 00731398 00000000 00000002
00000000 000093be 77 001cf2b7 00000077 00000003 00731204 00000083 00731399 00000000 00000002
00000000 000093be 61 001cf2b8 00000061 00000003 00731204 00000083 0073139a 00000000 00000002
00000000 000093be 72 001cf2b9 00000072 00000003 00731204 00000083 0073139b 00000000 00000002
00000000 000093be 72 001cf2ba 00000072 00000003 00731204 00000083 0073139c 00000000 00000002
00000000 000093be 61 001cf2bb 00000061 00000003 00731204 00000083 0073139d 00000000 00000002
00000000 000093be 6e 001cf2bc 0000006e 00000003 00731204 00000083 0073139e 00000000 00000002
00000000 000093be 74 001cf2bd 00000074 00000003 00731204 00000083 0073139f 00000000 00000002
00000000 000093be 79 001cf2be 00000079 00000003 00731204 00000083 007313a0 00000000 00000002
00000000 000093be 2e 0072f205 0000002e 00000003 00731204 00000083 007313a1 00000000 00000002
00000000 000093be 20 007311bd 00000020 00000003 00731204 00000083 007313a2 00000000 00000002
00000000 000093be 0a 0073010b 0000000a 00000003 00731204 00000083 007313a3 00000000 00000002
00000000 000093be 41 0072e5d7 00000041 00000003 00731204 00000083 007313a4 00000000 00000002
00000000 000093be 6c 0072e5d8 0000006c 00000003 00731204 00000083 007313a5 00000000 00000002
00000000 000093be 73 0072e5d9 00000073 00000003 00731204 00000083 007313a6 00000000 00000002
00000000 000093be 6f 0072e5da 0000006f 00000003 00731204 00000083 007313a7 00000000 00000002
00000000 000093be 2c 0072e5db 0000002c 00000003 00731204 00000083 007313a8 00000000 00000002
00000000 000093be 20 00730450 00000020 00000003 00731204 00000083 007313a9 00000000 00000002
00000000 000093be 69 0072e5dd 00000069 00000003 00731204 00000083 007313aa 00000000 00000002
00000000 000093be 74 0072e5de 00000074 00000003 00731204 00000083 007313ab 00000000 00000002
00000000 000093be 20 0073045a 00000020 00000003 00731204 00000083 007313ac 00000000 00000002
00000000 000093be 69 0072e5e0 00000069 00000003 00731204 00000083 007313ad 00000000 00000002
00000000 000093be 73 0072e5e1 00000073 00000003 00731204 00000083 007313ae 00000000 00000002
00000000 000093be 20 00730464 00000020 00000003 00731204 00000083 007313af 00000000 00000002
00000000 000093be 69 0072e5e3 00000069 00000003 00731204 00000083 007313b0 00000000 00000002
00000000 000093be 6e 0072e5e4 0000006e 00000003 00731204 00000083 007313b1 00000000 00000002
00000000 000093be 20 0073046e 00000020 00000003 00731204 00000083 007313b2 00000000 00000002
00000000 000093be 70 0072e5e6 00000070 00000003 00731204 00000083 007313b3 00000000 00000002
00000000 000093be 72 0072e5e7 00000072 00000003 00731204 00000083 007313b4 00000000 00000002
00000000 000093be 69 0072e5e8 00000069 00000003 00731204 00000083 007313b5 00000000 00000002
00000000 000093be 73 0072e5e9 00000073 00000003 00731204 00000083 007313b6 00000000 00000002
00000000 000093be 74 0072e5ea 00000074 00000003 00731204 00000083 007313b7 00000000 00000002
00000000 000093be 69 0072e5eb 00000069 00000003 00731204 00000083 007313b8 00000000 00000002
00000000 000093be 6e 0072e5ec 0000006e 00000003 00731204 00000083 007313b9 00000000 00000002
00000000 000093be 65 0072e5ed 00000065 00000003 00731204 00000083 007313ba 00000000 00000002
00000000 000093be 20 00730478 00000020 00000003 00731204 00000083 007313bb 00000000 00000002
00000000 000093be 63 0072e5ef 00000063 00000003 00731204 00000083 007313bc 00000000 00000002
00000000 000093be 6f 0072e5f0 0000006f 00000003 00731204 00000083 007313bd 00000000 00000002
00000000 000093be 6e 0072e5f1 0000006e 00000003 00731204 00000083 007313be 00000000 00000002
00000000 000093be 64 0072e5f2 00000064 00000003 00731204 00000083 007313bf 00000000 00000002
00000000 000093be 69 0072e5f3 00000069 00000003 00731204 00000083 007313c0 00000000 00000002
00000000 000093be 74 0072e5f4 00000074 00000003 00731204 00000083 007313c1 00000000 00000002
00000000 000093be 69 0072e5f5 00000069 00000003 00731204 00000083 007313c2 00000000 00000002
00000000 000093be 6f 0072e5f6 0000006f 00000003 00731204 00000083 007313c3 00000000 00000002
00000000 000093be 6e 0072e5f7 0000006e 00000003 00731204 00000083 007313c4 00000000 00000002
00000000 000093be 2e 0072f20a 0000002e 00000003 00731204 00000083 007313c5 00000000 00000002
00000000 000093be 20 00730482 00000020 00000003 00731204 00000083 007313c6 00000000 00000002
00000000 000093be 0a 007313c9 0000000a 00000003 007313c8 00000083 007313cc 00000000 00000002
00000000 000093be 0a 007313ca 0000000a 00000003 007313c8 00000083 007313cd 00000000 00000002
00000000 000093be 3e 007313d0 0000003e 00000003 007313cf 00000083 007313d4 00000000 00000002
00000000 000093be 3a 007313d1 0000003a 00000003 007313cf 00000083 007313d5 00000000 00000002
00000000 000093be 20 007313d2 00000020 00000003 007313cf 00000083 007313d6 00000000 00000002
00000000 000093be 45 007354d2 00000045 00000003 007354d1 00000083 00735515 00000000 00000002
00000000 000093be 6e 007354d3 0000006e 00000003 007354d1 00000083 00735516 00000000 00000002
00000000 000093be 74 007354d4 00000074 00000003 007354d1 00000083 00735517 00000000 00000002
00000000 000093be 65 007354d5 00000065 00000003 007354d1 00000083 00735518 00000000 00000002
00000000 000093be 72 007354d6 00000072 00000003 007354d1 00000083 00735519 00000000 00000002
00000000 000093be 20 007354d7 00000020 00000003 007354d1 00000083 0073551a 00000000 00000002
00000000 000093be 73 007354d8 00000073 00000003 007354d1 00000083 0073551b 00000000 00000002
00000000 000093be 75 007354d9 00000075 00000003 007354d1 00000083 0073551c 00000000 00000002
00000000 000093be 62 007354da 00000062 00000003 007354d1 00000083 0073551d 00000000 00000002
00000000 000093be 2d 007354db 0000002d 00000003 007354d1 00000083 0073551e 00000000 00000002
00000000 000093be 63 007354dc 00000063 00000003 007354d1 00000083 0073551f 00000000 00000002
00000000 000093be 65 007354dd 00000065 00000003 007354d1 00000083 00735520 00000000 00000002
00000000 000093be 72 007354de 00000072 00000003 007354d1 00000083 00735521 00000000 00000002
00000000 000093be 65 007354df 00000065 00000003 007354d1 00000083 00735522 00000000 00000002
00000000 000093be 62 007354e0 00000062 00000003 007354d1 00000083 00735523 00000000 00000002
00000000 000093be 72 007354e1 00000072 00000003 007354d1 00000083 00735524 00000000 00000002
00000000 000093be 61 007354e2 00000061 00000003 007354d1 00000083 00735525 00000000 00000002
00000000 000093be 6c 007354e3 0000006c 00000003 007354d1 00000083 00735526 00000000 00000002
00000000 000093be 20 007354e4 00000020 00000003 007354d1 00000083 00735527 00000000 00000002
00000000 000093be 70 007354e5 00000070 00000003 007354d1 00000083 00735528 00000000 00000002
00000000 000093be 72 007354e6 00000072 00000003 007354d1 00000083 00735529 00000000 00000002
00000000 000093be 6f 007354e7 0000006f 00000003 007354d1 00000083 0073552a 00000000 00000002
00000000 000093be 67 007354e8 00000067 00000003 007354d1 00000083 0073552b 00000000 00000002
00000000 000093be 72 007354e9 00000072 00000003 007354d1 00000083 0073552c 00000000 00000002
00000000 000093be 61 007354ea 00000061 00000003 007354d1 00000083 0073552d 00000000 00000002
00000000 000093be 6d 007354eb 0000006d 00000003 007354d1 00000083 0073552e 00000000 00000002
00000000 000093be 20 007354ec 00000020 00000003 007354d1 00000083 0073552f 00000000 00000002
00000000 000093be 66 007354ed 00000066 00000003 007354d1 00000083 00735530 00000000 00000002
00000000 000093be 6f 007354ee 0000006f 00000003 007354d1 00000083 00735531 00000000 00000002
00000000 000093be 6c 007354ef 0000006c 00000003 007354d1 00000083 00735532 00000000 00000002
00000000 000093be 6c 007354f0 0000006c 00000003 007354d1 00000083 00735533 00000000 00000002
00000000 000093be 6f 007354f1 0000006f 00000003 007354d1 00000083 00735534 00000000 00000002
00000000 000093be 77 007354f2 00000077 00000003 007354d1 00000083 00735535 00000000 00000002
00000000 000093be 65 007354f3 00000065 00000003 007354d1 00000083 00735536 00000000 00000002
00000000 000093be 64 007354f4 00000064 00000003 007354d1 00000083 00735537 00000000 00000002
00000000 000093be 20 007354f5 00000020 00000003 007354d1 00000083 00735538 00000000 00000002
00000000 000093be 62 007354f6 00000062 00000003 007354d1 00000083 00735539 00000000 00000002
00000000 000093be 79 007354f7 00000079 00000003 007354d1 00000083 0073553a 00000000 00000002
00000000 000093be 20 007354f8 00000020 00000003 007354d1 00000083 0073553b 00000000 00000002
00000000 000093be 65 007354f9 00000065 00000003 007354d1 00000083 0073553c 00000000 00000002
00000000 000093be 6e 007354fa 0000006e 00000003 007354d1 00000083 0073553d 00000000 00000002
00000000 000093be 64 007354fb 00000064 00000003 007354d1 00000083 0073553e 00000000 00000002
00000000 000093be 2d 007354fc 0000002d 00000003 007354d1 00000083 0073553f 00000000 00000002
00000000 000093be 6f 007354fd 0000006f 00000003 007354d1 00000083 00735540 00000000 00000002
00000000 000093be 66 007354fe 00000066 00000003 007354d1 00000083 00735541 00000000 00000002
00000000 000093be 2d 007354ff 0000002d 00000003 007354d1 00000083 00735542 00000000 00000002
00000000 000093be 6d 00735500 0000006d 00000003 007354d1 00000083 00735543 00000000 00000002
00000000 000093be 69 00735501 00000069 00000003 007354d1 00000083 00735544 00000000 00000002
00000000 000093be 6e 00735502 0000006e 00000003 007354d1 00000083 00735545 00000000 00000002
00000000 000093be 64 00735503 00000064 00000003 007354d1 00000083 00735546 00000000 00000002
00000000 000093be 20 00735504 00000020 00000003 007354d1 00000083 00735547 00000000 00000002
00000000 000093be 6d 00735505 0000006d 00000003 007354d1 00000083 00735548 00000000 00000002
00000000 000093be 61 00735506 00000061 00000003 007354d1 00000083 00735549 00000000 00000002
00000000 000093be 72 00735507 00000072 00000003 007354d1 00000083 0073554a 00000000 00000002
00000000 000093be 6b 00735508 0000006b 00000003 007354d1 00000083 0073554b 00000000 00000002
00000000 000093be 65 00735509 00000065 00000003 007354d1 00000083 0073554c 00000000 00000002
00000000 000093be 72 0073550a 00000072 00000003 007354d1 00000083 0073554d 00000000 00000002
00000000 000093be 20 0073550b 00000020 00000003 007354d1 00000083 0073554e 00000000 00000002
00000000 000093be 22 0073550c 00000022 00000003 007354d1 00000083 0073554f 00000000 00000002
00000000 000093be 45 0073550d 00000045 00000003 007354d1 00000083 00735550 00000000 00000002
00000000 000093be 4f 0073550e 0000004f 00000003 007354d1 00000083 00735551 00000000 00000002
00000000 000093be 4d 0073550f 0000004d 00000003 007354d1 00000083 00735552 00000000 00000002
00000000 000093be 22 00735510 00000022 00000003 007354d1 00000083 00735553 00000000 00000002
00000000 000093be 3a 00735511 0000003a 00000003 007354d1 00000083 00735554 00000000 00000002
00000000 000093be 0a 00735512 0000000a 00000003 007354d1 00000083 00735555 00000000 00000002
00000000 000093be 0a 00735513 0000000a 00000003 007354d1 00000083 00735556 00000000 00000002
00000000 000093be 42 0073b32f 00000042 00000003 0073b33b 00000083 0073b33d 00000000 00000002
00000000 000093be 75 0073b330 00000075 00000003 0073b33b 00000083 0073b33e 00000000 00000002
00000000 000093be 72 0073b331 00000072 00000003 0073b33b 00000083 0073b33f 00000000 00000002
00000000 000093be 6e 0073b332 0000006e 00000003 0073b33b 00000083 0073b340 00000000 00000002
00000000 000093be 65 0073b333 00000065 00000003 0073b33b 00000083 0073b341 00000000 00000002
00000000 000093be 64 0073b334 00000064 00000003 0073b33b 00000083 0073b342 00000000 00000002
00000000 000093be 20 0073b335 00000020 00000003 0073b33b 00000083 0073b343 00000000 00000002
00000000 000093be 35 0073b308 00000035 00000003 0073b33b 00000083 0073b344 00000000 00000002
00000000 000093be 31 0073b319 00000031 00000003 0073b33b 00000083 0073b345 00000000 00000002
00000000 000093be 32 0073b32b 00000032 00000003 0073b33b 00000083 0073b346 00000000 00000002
00000000 000093be 2e 0073b337 0000002e 00000003 0073b33b 00000083 0073b347 00000000 00000002
00000000 000093be 2e 0073b338 0000002e 00000003 0073b33b 00000083 0073b348 00000000 00000002
00000000 000093be 2e 0073b339 0000002e 00000003 0073b33b 00000083 0073b349 00000000 00000002
00000000 000093be 0a 0073b33a 0000000a 00000003 0073b33b 00000083 0073b34a 00000000 00000002
00000000 000093be 42 00741132 00000042 00000003 0074113e 00000083 00741140 00000000 00000002
00000000 000093be 75 00741133 00000075 00000003 0074113e 00000083 00741141 00000000 00000002
00000000 000093be 72 00741134 00000072 00000003 0074113e 00000083 00741142 00000000 00000002
00000000 000093be 6e 00741135 0000006e 00000003 0074113e 00000083 00741143 00000000 00000002
00000000 000093be 65 00741136 00000065 00000003 0074113e 00000083 00741144 00000000 00000002
00000000 000093be 64 00741137 00000064 00000003 0074113e 00000083 00741145 00000000 00000002
00000000 000093be 20 00741138 00000020 00000003 0074113e 00000083 00741146 00000000 00000002
00000000 000093be 31 007410f9 00000031 00000003 0074113e 00000083 00741147 00000000 00000002
00000000 000093be 30 0074110a 00000030 00000003 0074113e 00000083 00741148 00000000 00000002
00000000 000093be 32 0074111c 00000032 00000003 0074113e 00000083 00741149 00000000 00000002
00000000 000093be 34 0074112e 00000034 00000003 0074113e 00000083 0074114a 00000000 00000002
00000000 000093be 2e 0074113a 0000002e 00000003 0074113e 00000083 0074114b 00000000 00000002
